level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
5	1	9	1	9	4	708	936	148	37	96	TRANSFER
5	1	9	1	9	5	945	941	157	21	92	REGISTERE
5	1	9	1	9	6	1110	936	32	37	90	|
5	1	9	1	9	7	1151	941	86	21	91	LITING
5	1	9	1	9	8	1247	941	75	21	96	ZHAO
4	1	9	1	10	0	945	969	17	21	-1	
5	1	9	1	10	1	945	969	17	21	91	D
2	1	10	0	0	0	76	1000	1501	6	-1	
3	1	10	1	0	0	76	1000	1501	6	-1	
4	1	10	1	1	0	76	1000	1501	6	-1	
5	1	10	1	1	1	76	1000	1501	6	95	 
2	1	11	0	0	0	94	1024	1177	77	-1	
3	1	11	1	0	0	94	1024	1177	77	-1	
4	1	11	1	1	0	94	1024	1177	22	-1	
5	1	11	1	1	1	94	1025	135	21	96	12/10/2015
5	1	11	1	1	2	298	1025	136	21	94	04/11/2015
5	1	11	1	1	3	505	1025	120	21	96	12411314
5	1	11	1	1	4	710	1024	162	22	96	DISCHARGE
5	1	11	1	1	5	945	1024	157	22	91	REGISTERE
5	1	11	1	1	6	1113	1020	26	37	96	|
5	1	11	1	1	7	1152	1025	119	21	96	12150555
4	1	11	1	2	0	709	1052	253	21	-1	
5	1	11	1	2	1	709	1052	37	21	95	OF
5	1	11	1	2	2	945	1052	17	21	91	D
4	1	11	1	3	0	710	1080	159	21	-1	
5	1	11	1	3	1	710	1080	159	21	96	MORTGAGE
2	1	12	0	0	0	94	1135	1437	55	-1	
3	1	12	1	0	0	94	1135	1437	55	-1	
4	1	12	1	1	0	94	1135	1437	22	-1	
5	1	12	1	1	1	94	1136	135	21	96	19/06/2014
5	1	12	1	1	2	299	1136	136	21	96	11/07/2014
5	1	12	1	1	3	505	1136	120	21	96	12150555
5	1	12	1	1	4	710	1135	159	22	96	MORTGAGE
5	1	12	1	1	5	945	1135	157	22	90	REGISTERE
5	1	12	1	1	6	1113	1131	32	37	95	|
5	1	12	1	1	7	1151	1135	125	22	92	BENDIGO
5	1	12	1	1	8	1286	1136	16	21	92	&
5	1	12	1	1	9	1312	1136	135	20	96	ADELAIDE
5	1	12	1	1	10	1458	1136	73	20	96	BANK
4	1	12	1	2	0	945	1163	517	27	-1	
5	1	12	1	2	1	945	1164	17	20	91	D
5	1	12	1	2	2	1151	1164	56	20	96	LTD.
5	1	12	1	2	3	1219	1163	72	27	96	(ACN:
5	1	12	1	2	4	1301	1164	44	21	96	068
5	1	12	1	2	5	1355	1164	44	21	96	049
5	1	12	1	2	6	1411	1164	51	26	96	178)
2	1	13	0	0	0	76	1111	1501	6	-1	
3	1	13	1	0	0	76	1111	1501	6	-1	
4	1	13	1	1	0	76	1111	1501	6	-1	
5	1	13	1	1	1	76	1111	1501	6	95	 
2	1	14	0	0	0	75	810	4	389	-1	
3	1	14	1	0	0	75	810	4	389	-1	
4	1	14	1	1	0	75	810	4	389	-1	
5	1	14	1	1	1	75	810	4	389	95	 
2	1	15	0	0	0	281	810	4	389	-1	
3	1	15	1	0	0	281	810	4	389	-1	
4	1	15	1	1	0	281	810	4	389	-1	
5	1	15	1	1	1	281	810	4	389	95	 
2	1	16	0	0	0	486	810	4	389	-1	
3	1	16	1	0	0	486	810	4	389	-1	
4	1	16	1	1	0	486	810	4	389	-1	
5	1	16	1	1	1	486	810	4	389	95	 
2	1	17	0	0	0	692	810	4	389	-1	
3	1	17	1	0	0	692	810	4	389	-1	
4	1	17	1	1	0	692	810	4	389	-1	
5	1	17	1	1	1	692	810	4	389	95	 
2	1	18	0	0	0	927	810	4	389	-1	
3	1	18	1	0	0	927	810	4	389	-1	
4	1	18	1	1	0	927	810	4	389	-1	
5	1	18	1	1	1	927	810	4	389	95	 
2	1	19	0	0	0	1133	810	4	389	-1	
3	1	19	1	0	0	1133	810	4	389	-1	
4	1	19	1	1	0	1133	810	4	389	-1	
5	1	19	1	1	1	1133	810	4	389	95	 
2	1	20	0	0	0	1574	810	4	389	-1	
3	1	20	1	0	0	1574	810	4	389	-1	
4	1	20	1	1	0	1574	810	4	389	-1	
5	1	20	1	1	1	1574	810	4	389	95	 
2	1	21	0	0	0	76	1195	1501	6	-1	
3	1	21	1	0	0	76	1195	1501	6	-1	
4	1	21	1	1	0	76	1195	1501	6	-1	
5	1	21	1	1	1	76	1195	1501	6	95	 
2	1	22	0	0	0	61	2219	1530	7	-1	
3	1	22	1	0	0	61	2219	1530	7	-1	
4	1	22	1	1	0	61	2219	1530	7	-1	
5	1	22	1	1	1	61	2219	1530	7	95	 
2	1	23	0	0	0	69	2244	1511	51	-1	
3	1	23	1	0	0	69	2244	1511	51	-1	
4	1	23	1	1	0	70	2244	1510	22	-1	
5	1	23	1	1	1	70	2245	47	17	96	Land
5	1	23	1	1	2	125	2244	84	18	95	Services
5	1	23	1	1	3	217	2244	28	18	95	SA
5	1	23	1	1	4	1472	2245	49	21	96	Page
5	1	23	1	1	5	1531	2245	5	16	93	1
5	1	23	1	1	6	1548	2245	17	17	85	of
