level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
4	1	11	1	1	0	61	2206	1530	33	-1	
5	1	11	1	1	1	61	2206	1530	33	95	 
2	1	12	0	0	0	70	2244	175	18	-1	
3	1	12	1	0	0	70	2244	175	18	-1	
4	1	12	1	1	0	70	2244	175	18	-1	
5	1	12	1	1	1	70	2245	47	17	96	Land
5	1	12	1	1	2	125	2244	84	18	96	Services
5	1	12	1	1	3	217	2244	28	18	96	SA
2	1	13	0	0	0	69	2279	1128	16	-1	
3	1	13	1	0	0	69	2279	1128	16	-1	
4	1	13	1	1	0	69	2279	1128	16	-1	
5	1	13	1	1	1	69	2279	74	16	93	Copyright:
5	1	13	1	1	2	149	2279	265	16	90	www.landservices.com.au/copyright
5	1	13	1	1	3	420	2279	2	16	96	|
5	1	13	1	1	4	429	2279	57	16	93	Privacy:
5	1	13	1	1	5	492	2279	249	16	92	www.landservices.com.au/privacy
5	1	13	1	1	6	748	2279	1	16	96	|
5	1	13	1	1	7	756	2279	46	13	96	Terms
5	1	13	1	1	8	807	2279	14	13	96	of
5	1	13	1	1	9	827	2279	32	13	93	Use:
5	1	13	1	1	10	865	2279	332	13	7	www.landservices.com.au/sailis-terms-of-use
2	1	14	0	0	0	1472	2245	111	21	-1	
3	1	14	1	0	0	1472	2245	111	21	-1	
4	1	14	1	1	0	1472	2245	111	21	-1	
5	1	14	1	1	1	1472	2245	49	21	96	Page
5	1	14	1	1	2	1529	2245	11	17	95	3
5	1	14	1	1	3	1548	2245	17	17	95	of
5	1	14	1	1	4	1572	2245	11	17	96	3
